Genus,Species,Subspecies,Sex,Sex_age,Vertebral formula,Presacral No.,Analyse,Running_Speed,Length_Limbs,Species_name
Gazella,leptoceros,n.a.,M,M,7C 13T 6L 4S 10+Cg,26,yes,fast,long_limbs,Gazella_leptoceros
Gazella,leptoceros,n.a.,F,F,7C 13T 6L 4S 5+Cg,26,yes,fast,long_limbs,Gazella_leptoceros
Gazella,leptoceros,n.a.,F,F,7C 13T 6L 4S 6+Cg,26,yes,fast,long_limbs,Gazella_leptoceros
Gazella,leptoceros,n.a.,M,M,7C 13T 6L 4S 9+Cg,26,yes,fast,long_limbs,Gazella_leptoceros
Gazella,gazella,n.a.,M,M,7C 13T 6L 2+S ,26,yes,fast,long_limbs,Gazella_gazella
Eudorcas,thomsonii,n.a.,M,M,7C 13T 6L 4S 2+S ,26,yes,fast,long_limbs,Eudorcas_thomsonii
Gazella,spec,n.a.,F,F,7C 13T 6L 5S 3+S ,26,yes,fast,long_limbs,Gazella_spec
Eudorcas,rufifrons,n.a.,F,F,7C 13T 5L 5S 4+Cg,25,yes,fast,long_limbs,Eudorcas_rufifrons
Gazella,spec,n.a.,n.a.,NA,7C 13T 6L 4S 3+Cg,26,yes,fast,long_limbs,Gazella_spec
Eudorcas,rufifrons,n.a.,M,M,7C 13T 5L 3S 7+Cg,26,yes,fast,long_limbs,Eudorcas_rufifrons
Saiga,tatarica,n.a.,F,F,7C 13T 6L S 14Cg,26,yes,fast,long_limbs,Saiga_tatarica
Gazella,spec,n.a.,F,F,7C 13T 6L 4S 15+Cg,26,yes,fast,long_limbs,Gazella_spec
Gazella,spec,n.a.,F,F,7C 13T 6L 4S 4+Cg,26,yes,fast,long_limbs,Gazella_spec
Eudorcas,thomsonii,n.a.,F,F,7C 13T 6L 4S 4+Cg,26,yes,fast,long_limbs,Eudorcas_thomsonii
Eudorcas,thomsonii,n.a.,F,F,7C 13T 6L 4S 9+Cg,26,yes,fast,long_limbs,Eudorcas_thomsonii
Eudorcas,thomsonii,n.a.,F,F,7C 13T 1T/L 5L 4S 16Cg,26,yes,fast,long_limbs,Eudorcas_thomsonii
Gazella,spec,n.a.,n.a.,NA,7C 13T 6L 4S 13+ Cg,26,yes,fast,long_limbs,Gazella_spec
Gazella,dorcas,n.a.,M,M,7C 13T 6L 4S 14Cg,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,dorcas,n.a.,n.a.,NA,7C 13T 6L 3S 1S/Cg 13Cg,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,dorcas,n.a.,F, F pull,7C 13T 6L4S,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,dorcas,n.a.,M,M,7C 13T 6L4S 15Cg,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,dorcas,n.a.,n.a.,juv,7C 13T 6L4S 15Cg,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,dorcas,n.a.,M,M,7C 13T 6L4S 9+Cg,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,dorcas,n.a.,M,M,7C 13T 6L4S,26,yes,fast,long_limbs,Gazella_dorcas
Gazella,subgutturosa,n.a.,M,M ,7C 13T 6L 4S 13+Cg,26,yes,fast,long_limbs,Gazella_subgutturosa
Antidorcas,marsupialis,n.a.,F,F adult,7C 13T 6L 4S 6+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F juv,7C 13T 6L 4S 11+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F pull,7C 13T 6L 3S 10+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F juv,7C 13T 6L 3S 1S/Cg 9+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F juv,7C 13T 6L 3S 11+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F pull,7C 13T 6L 3S 10+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F adult,7C 13T 6L 3S 15Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F adult,7C 13T 6L 4S 15Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F adult,7C 13T 6L 4S 9+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Antidorcas,marsupialis,n.a.,F,F adult,7C 13T 6L 4S 9+Cg,26,yes,fast,long_limbs,Antidorcas_marsupialis
Nanger,granti,robertsi,M,M ad,1+L 4S,NA,yes,fast,long_limbs,Nanger_granti
Nanger,granti,brighti,M,M ad,1L 5S,NA,yes,fast,long_limbs,Nanger_granti
Nanger,dama,n.a.,M,M a peu pres adulte,7C 13T 6L 4S 15Cg,26,yes,fast,long_limbs,Nanger_dama
Nanger,dama,n.a.,M,M adult,7C 13T 6L 4S 12+Cg,26,yes,fast,long_limbs,Nanger_dama
Litocranius,walleri,n.a.,F,F,7C 13T 6L 4S 13Cg,26,yes,fast,long_limbs,Litocranius_walleri
Litocranius,walleri,n.a.,F,F,7C 13T 6L 4S 16Cg,26,yes,fast,long_limbs,Litocranius_walleri
Saiga,tatarica,n.a.,M, M ad,7C 13T 6L 5S ,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,F,F ad,7C 13T 6L 5S 5+Cg,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,M,M juv,7C 13T 6L 4S 2+Cg,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,F,F,7C 13T 6L 1L/S 3S 5+Cg,26.5,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,F,F,7C 13T 6L 4S ,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,M,M ad,7C 13T 6L 5S 11Cg,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,M,M,7C 13T 6L 6S 9Cg,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,M,M,7C 13T 6L 4S 10Cg,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,M,M,7C 13T 6L 4S 6+Cg,26,yes,fast,long_limbs,Saiga_tatarica
Saiga,tatarica,n.a.,n.a.,check,7C 13T 6L 4S 16Cg,26,yes,fast,long_limbs,Saiga_tatarica
Tragelaphus,euryceros,n.a.,F,F,7C 13T 6L 5S 2+Cg,26,yes,fast,long_limbs,Tragelaphus_euryceros
Tragelaphus,spec,n.a.,n.a.,NA,7C 13T 6L 5S 14Cg,26,yes,fast,long_limbs,Tragelaphus_spec
Tragelaphus,spekii,n.a.,M,M juv,7C 13T 6L 4S 13Cg,26,yes,fast,long_limbs,Tragelaphus_spekii
Tragelaphus,spekii,n.a.,F,F subad,7C 13T 6L 3S,26,yes,fast,long_limbs,Tragelaphus_spekii
Tragelaphus,spekii,n.a.,n.a.,juv,7C 13T 6L 4S 12Cg,26,yes,fast,long_limbs,Tragelaphus_spekii
Tragelaphus,spekii,n.a.,n.a.,juv,7C 13T 6L 3S 16Cg,26,yes,fast,long_limbs,Tragelaphus_spekii
Tragelaphus,spekii,n.a.,n.a.,juv,7C 13T 6L 1+S,26,yes,fast,long_limbs,Tragelaphus_spekii
Tragelaphus,spekii,n.a.,M,M,7C 13T 6L 4S 1S/Cg 8+Cg,26,yes,fast,long_limbs,Tragelaphus_spekii
Tragelaphus,scriptus,n.a.,F,F,7C 13T 6L S 14Cg,26,yes,fast,long_limbs,Tragelaphus_scriptus
Tragelaphus,euryceros,n.a.,M,Mf ad,7C 13T 6L 5S 14Cg,26,yes,fast,long_limbs,Tragelaphus_euryceros
Tragelaphus,euryceros,n.a.,M,M juv large,7C 13T 6L 5S 17Cg,26,yes,fast,long_limbs,Tragelaphus_euryceros
Tragelaphus,scriptus,sylvatica,M,M ad.,7C 13T 6L 5S 12Cg,26,yes,fast,long_limbs,Tragelaphus_scriptus
Boselaphus,tragocamelus,n.a.,F,F ad,7C 13T 6L 4S 14Cg ,26,yes,fast,long_intermediate_limbs,Boselaphus_tragocamelus
Boselaphus,tragocamelus,n.a.,M,M ad,7C 13T 6L 5S 16Cg,26,yes,fast,long_intermediate_limbs,Boselaphus_tragocamelus
Boselaphus,tragocamelus,n.a.,n.a.,check,7C 13T 6L 5S 16Cg,26,yes,fast,long_intermediate_limbs,Boselaphus_tragocamelus
Taurotragus,oryx,n.a.,n.a.,juv,7C 13T 6L 4S 2+S ,26,yes,fast,long_intermediate_limbs,Taurotragus_oryx
Taurotragus,oryx,n.a.,F,F ad,7C 13T 6L 5S 17Cg,26,yes,fast,long_intermediate_limbs,Taurotragus_oryx
Capra,ibex,n.a.,n.a.,check Mogens,7C 13T 6L 3S 7+ Cg,26,yes,fast,intermediate,Capra_ibex
Ovibos,moschatus,n.a.,F,F ad, 7C 13T 5L 1L/S 5S,25.5,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,n.a.,NA,7C 13T 6L 6S,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M juv,7C 13T 6L 5S ,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M ad,7C 13T  5L 1L/S  6S,26.5,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M ad,7C 13T  6L 6S  (+)6Cg,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,F,F ad,7C 13T  6L 6S 9Cg,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,F,F juv,7C 12T 1T/L 5L 1L/S 3S,25.5,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M ad,7C 13T 5L 5S,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,F,F juv,7C 13T 5L 1L/S 4S,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M juv,"7C 13T 5L 5S (of 1L/S 4S zie foto, tamelijk sacraal)",NA,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,F,F ad,7C 12T 6L 6S,25,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M pull,7C 13T 6L 6S,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,F,F,7C 13T 6L 4S 2+Cg,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M,7C 13T 6L 6S 6Cg,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M,7C 9+T 1+L 6S,NA,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Ovibos,moschatus,n.a.,M,M ad.,7C 13T 6L 5S 7Cg,26,yes,slow,short_intermediate_ limbs,Ovibos_moschatus
Rupicapra,rupicapra,n.a.,n.a.,check Mogens,7C 13T 6L 5S 6Cg,26,yes,fast,long_limbs,Rupicapra_rupicapra
Cephalophus,dorsalis,n.a.,F,F,7C 13T 5L 1L/S  4S 7Cg,25.5,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,M,M,7C 14T 5L 5S 11+Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,M,M,7C 14T 5L 5S 7+Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,F,F,7C 14T 5L 3S 10+Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,M,M,7C 14T 5L 3S 4+Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,F,F,7C 14T 5L 4S 5+Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,n.a.,juv,7C 13T 1T/L 5L 3S 13Cg ,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,n.a.,NA,7C 14T 4L 1L/S 4S 15Cg,25.5,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,F,F,7C 14T 5L 4S 11+Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,F,F,7C 14T 6L 3S 10+Cg,27,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,M,M,7C 14T 5L 4S 1S/Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,F,F juv,7C 13T 6L 3S 15Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,M,M,7C 14T 5L 4S 14Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Cephalophus,dorsalis,n.a.,M,M,7C 14T 5L 4S 14Cg,26,yes,slow,short_intermediate_ limbs,Cephalophus_dorsalis
Oryx,dammah,n.a.,M,M ad,7C 13T 6L 4S 1+Cg,26,yes,fast,long_limbs,Oryx_dammah
Oryx,dammah,n.a.,n.a.,NA,7C 13T 6L 4S 16Cg,26,yes,fast,long_limbs,Oryx_dammah
Oryx,beisa,n.a.,F,F ad,7C 13T 6L 4S 8+Cg,26,yes,fast,long_limbs,Oryx_beisa
Oryx,beisa,n.a.,n.a.,NA,7C 13T 4S 8+Cg,26,yes,fast,long_limbs,Oryx_beisa
Oryx,beisa,n.a.,M,M,7C 13T 6L 13+Cg,26,yes,fast,long_limbs,Oryx_beisa
Oryx,spec,n.a.,n.a.,NA,7C 13T 6L 3S 15Cg,26,yes,fast,long_limbs,Oryx_spec
Oryx,gazella,n.a.,F,F,7C 13T 6L 4S 17Cg,26,yes,fast,long_limbs,Oryx_gazella
Oryx,gazella,n.a.,M,M,7C 13T 6L 3S 1S/Cg 17Cg,26,yes,fast,long_limbs,Oryx_gazella
Oryx,gazella,n.a.,F,F,7C 13T 1T/L 5L 4S 16Cg,26,yes,fast,long_limbs,Oryx_gazella
Kobus,kob,n.a.,F,NA,7C 13T 6L 4S,26,yes,fast,long_limbs,Kobus_kob
Kobus,kob,n.a.,n.a.,NA,7C 13T 6L 5S,26,yes,fast,long_limbs,Kobus_kob
Kobus,kob,n.a.,n.a.,NA,7C 13T 6L 4S,26,yes,fast,long_limbs,Kobus_kob
Kobus,vardoni,n.a.,n.a.,NA,7C 13T 6L 4S 5+Cg,26,yes,fast,long_limbs,Kobus_vardoni
Kobus,vardoni,n.a.,M,M,7C 13T 6L 4S 3+Cg,26,yes,fast,long_limbs,Kobus_vardoni
Kobus,ellipsiprymnus,defassa,n.a.,J,7C 13T 6L 4S 3+Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,defassa,F,F,7C 13 T,NA,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,defassa,n.a.,NA,7C 13T 6L 5S ,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,kob,leucotis,M,M,7C 13T 6L  4S 4+Cg,26,yes,fast,long_limbs,Kobus_kob
Kobus,kob,leucotis,M,M,7C 13T 6L  4S 5+Cg,26,yes,fast,long_limbs,Kobus_kob
Kobus,kob,nigricans,M,M,7C 13T 6L 4S 2+Cg,26,yes,fast,long_limbs,Kobus_kob
Kobus,vardoni,n.a.,F,F,7C 13T 6L 4S 4+Cg,26,yes,fast,long_limbs,Kobus_vardoni
Kobus,vardoni,n.a.,M,M,7C 13T 1T/L 6L 4S 4+Cg,27,yes,fast,long_limbs,Kobus_vardoni
Kobus,vardoni,n.a.,M,M,7C 13T 6L 1+S,26,yes,fast,long_limbs,Kobus_vardoni
Kobus,vardoni,n.a.,F,F,7C 13T 6L 4S 2+Cg,26,yes,fast,long_limbs,Kobus_vardoni
Kobus,vardoni,n.a.,M,M,7C 13T 6L 4S 2+Cg,26,yes,fast,long_limbs,Kobus_vardoni
Kobus,ellipsiprymnus,defassa,F,F,7C 13T 6L 4S 14+Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,unctuosus,n.a.,NA,7C 13T 6L 1+S,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,ugandae,n.a.,NA,7C 13T 6L 5S,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,leche,n.a.,n.a.,NA,7C 13T 6L 4S,26,yes,fast,long_limbs,Kobus_leche
Kobus,ellipsiprymnus,n.a.,M,M,7C 13T 6L 4S 1S/Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,n.a.,n.a.,NA,7C 13T 6L 4S 4+Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,n.a.,M,M,7C 13T 6L 5S 14+Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,n.a.,F,F,7C 13T 6L 5S 15Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,n.a.,F,F,7C 1+T 6L 4S 14Cg,NA,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,n.a.,M,M ad,7C 13T 6L 4S,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,ellipsiprymnus,n.a.,n.a.,NA,7C 13T 6L 4S,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,megaceros,n.a.,M,M ad,7C 13T 6L 5S 4+Cg,26,yes,fast,long_limbs,Kobus_megaceros
Kobus,ellipsiprymnus,onctuosus,M,M,7C 13T 6L 4S 1+Cg,26,yes,fast,long_limbs,Kobus_ellipsiprymnus
Kobus,spec,n.a.,M,M ad,7C 13T 6L 5S 18Cg,26,yes,fast,long_limbs,Kobus_spec
Redunca,redunca,wardi,F,F,7C 13T 6L 3S 1S/Cg 10+Cg,26,yes,fast,long_limbs,Redunca_redunca
Redunca,redunca,wardi,F,F,7C 13T 6L 4S 7+Cg,26,yes,fast,long_limbs,Redunca_redunca
Redunca,redunca,cottoni,n.a.,NA,7C 13T 6L 4S 3+Cg,26,yes,fast,long_limbs,Redunca_redunca
Redunca,redunca,n.a.,M,M,7C 13T 6L 5S 10+Cg,26,yes,fast,long_limbs,Redunca_redunca
Redunca,redunca,n.a.,n.a.,NA,7C 13T 6L 4S,26,yes,fast,long_limbs,Redunca_redunca
Redunca,fulvorufula,n.a.,M,M,7C 13T 6L 4S 1+Cg,26,yes,fast,long_limbs,Redunca_fulvorufula
Redunca,fulvorufula,n.a.,M,M,7C 13T 6L 4S,26,yes,fast,long_limbs,Redunca_fulvorufula
Redunca,fulvorufula,n.a.,F,F,7C 13T 6L 4S 2+Cg,26,yes,fast,long_limbs,Redunca_fulvorufula
Redunca,arundinum,n.a.,M,M,7C 13T 6L 4S 13+ Cg,26,yes,fast,long_limbs,Redunca_arundinum
Redunca,arundinum,n.a.,M,M,7C 13T 6L 4S,26,yes,fast,long_limbs,Redunca_arundinum
Redunca,arundinum,n.a.,M,M,7C 13T 6L 4S 15Cg,26,yes,fast,long_limbs,Redunca_arundinum
Redunca,arundinum,n.a.,F,F,6L 4S 2+Cg,NA,yes,fast,long_limbs,Redunca_arundinum
Redunca,arundinum,n.a.,n.a.,NA,7C 13T 6L 4S,26,yes,fast,long_limbs,Redunca_arundinum
Redunca,arundinum,n.a.,n.a.,Juv,7C 13T 6L 1+S 5+Cg,26,yes,fast,long_limbs,Redunca_arundinum
Redunca,spec,n.a.,n.a.,NA,7C 13T 6L 4S 4+Cg,26,yes,fast,long_limbs,Redunca_spec
Pelea,capreolus,n.a.,n.a.,jeune,7C 13T 6L 4S 13Cg,26,yes,fast,long_intermediate_limbs,Pelea_capreolus
